fits_file,slice_idx,epoch,wave,mjd,phase,flux
jw01666001001_02102_00001-seg002_nrcb1_o001_crfints,423,epoch1,sw,59981.010547814694,0.007359959126915783,-34.30731138149766
jw01666001001_02102_00001-seg002_nrcb1_o001_crfints,795,epoch1,sw,59981.03456482668,0.010082446649903432,-25.17783633127762
jw01666001001_02102_00001-seg001_nrcb1_o001_crfints,2382,epoch1,sw,59980.9481810569,0.016419129067799076,137.6003325540392
jw01666001001_02102_00001-seg002_nrcb1_o001_crfints,1465,epoch1,sw,59981.07782127265,0.020362124138046056,30.23439833653708
jw01666001001_02102_00001-seg002_nrcb1_o001_crfints,1317,epoch1,sw,59981.06826611746,0.03003169526346028,139.22094259299877
jw01666001001_02102_00001-seg001_nrcb1_o001_crfints,80,epoch1,sw,59980.79955964939,0.058710596640594304,611.5641015063673
jw01666001001_02102_00001-seg002_nrcb1_o001_crfints,205,epoch1,sw,59980.996473328916,0.07565694232471287,675.7084161440838
jw01666001001_02102_00001-seg002_nrcb1_o001_crfints,1694,epoch1,sw,59981.092605938415,0.09999500893172808,473.79420496813975
jw01666001001_02102_00001-seg001_nrcb1_o001_crfints,234,epoch1,sw,59980.80950217638,0.1297302270832006,687.9476762422983
jw01666001001_02102_00001-seg001_nrcb1_o001_crfints,2317,epoch1,sw,59980.943984535916,0.14228749726316892,721.0465588681535
jw01666001001_02102_00001-seg002_nrcb1_o001_crfints,286,epoch1,sw,59981.00170283981,0.16495946439681575,725.030357907044
jw01666001001_02102_00001-seg002_nrcb1_o001_crfints,1699,epoch1,sw,59981.09292874771,0.16723590189940296,537.449417068527
jw01666001001_02102_00001-seg001_nrcb1_o001_crfints,832,epoch1,sw,59980.848110170584,0.1717414782033302,726.0306615300675
jw01666001001_02102_00001-seg002_nrcb1_o001_crfints,1850,epoch1,sw,59981.102677588424,0.19791085433098488,764.5690458102738
jw01666001001_02102_00001-seg001_nrcb1_o001_crfints,2173,epoch1,sw,59980.93468762786,0.20574972097529098,570.8518954778011
jw01666001001_02102_00001-seg001_nrcb1_o001_crfints,315,epoch1,sw,59980.81473168732,0.21903275873046368,794.9180833115101
jw01666001001_02102_00001-seg001_nrcb1_o001_crfints,2769,epoch1,sw,59980.97316649717,0.22086437555844896,820.9556162998992
jw01666001001_02102_00001-seg002_nrcb1_o001_crfints,217,epoch1,sw,59980.99724807124,0.23703508713515475,823.4911028526984
jw01666001001_02102_00001-seg001_nrcb1_o001_crfints,2696,epoch1,sw,59980.96845348131,0.23914731535478495,837.5892913811809
jw01666001001_02102_00001-seg002_nrcb1_o001_crfints,2301,epoch1,sw,59981.13179498671,0.2630393275176175,902.1230426725442
jw01666001001_02102_00001-seg001_nrcb1_o001_crfints,2327,epoch1,sw,59980.944630154525,0.27676928605069406,906.1187454032946
jw01666001001_02102_00001-seg002_nrcb1_o001_crfints,2080,epoch1,sw,59981.11752681594,0.29099189626867883,957.8755250291792
jw01666001001_02102_00001-seg001_nrcb1_o001_crfints,990,epoch1,sw,59980.85831094491,0.2965538027929142,900.5006465434618
jw01666001001_02102_00001-seg001_nrcb1_o001_crfints,917,epoch1,sw,59980.85359792893,0.3148367173562292,919.0277517367368
jw01666001001_02102_00001-seg002_nrcb1_o001_crfints,149,epoch1,sw,59980.99285786472,0.32255892880493775,959.9866892802742
jw01666001001_02102_00001-seg002_nrcb1_o001_crfints,596,epoch1,sw,59981.02171701652,0.3338948822929524,750.2520428915083
jw01666001001_02102_00001-seg002_nrcb1_o001_crfints,2084,epoch1,sw,59981.11778506338,0.34478461122489534,962.6147499585561
jw01666001001_02102_00001-seg001_nrcb1_o001_crfints,251,epoch1,sw,59980.810599728065,0.3583492781908717,987.3441654672239
jw01666001001_02102_00001-seg002_nrcb1_o001_crfints,970,epoch1,sw,59981.04586315216,0.3635137139353901,1016.7364315501453
jw01666001001_02102_00001-seg003_nrcb1_o001_crfints,54,epoch1,sw,59981.17556792652,0.3809042225184385,825.8014180459348
jw01666001001_02102_00001-seg001_nrcb1_o001_crfints,2856,epoch1,sw,59980.978783379076,0.3908559395640623,1062.9039822362452
jw01666001001_02102_00001-seg002_nrcb1_o001_crfints,155,epoch1,sw,59980.993245235884,0.40324800118105486,858.5606868144714
jw01666001001_02102_00001-seg001_nrcb1_o001_crfints,1594,epoch1,sw,59980.897306309846,0.41925403877394274,1108.9174267611934
jw01666001001_02102_00001-seg001_nrcb1_o001_crfints,330,epoch1,sw,59980.81570011528,0.420755450904835,889.4796376179054
jw01666001001_02102_00001-seg001_nrcb1_o001_crfints,851,epoch1,sw,59980.84933684599,0.4272568868182134,1103.749144090264
jw01666001001_02102_00001-seg002_nrcb1_o001_crfints,2762,epoch1,sw,59981.16155800335,0.4626495374541264,1154.7609081555518
jw01666001001_02102_00001-seg002_nrcb1_o001_crfints,383,epoch1,sw,59981.00796534027,0.4694328067707829,820.0382644535966
jw01666001001_02102_00001-seg002_nrcb1_o001_crfints,904,epoch1,sw,59981.04160206942,0.47593392347334884,819.4383009211118
jw01666001001_02102_00001-seg001_nrcb1_o001_crfints,633,epoch1,sw,59980.835262359855,0.4955537981004454,1029.8802152960143
jw01666001001_02102_00001-seg001_nrcb1_o001_crfints,2492,epoch1,sw,59980.95528286164,0.49571881504380144,1012.1094652993154
jw01666001001_02102_00001-seg002_nrcb1_o001_crfints,2245,epoch1,sw,59981.128179522624,0.5099413361749612,1040.8968885201575
jw01666001001_02102_00001-seg001_nrcb1_o001_crfints,1824,epoch1,sw,59980.912155538106,0.5123352321970742,997.9010100263498
jw01666001001_02102_00001-seg001_nrcb1_o001_crfints,40,epoch1,sw,59980.79697717485,0.5207834191096481,807.8549392947604
jw01666001001_02102_00001-seg001_nrcb1_o001_crfints,338,epoch1,sw,59980.81621661019,0.5283408866962418,1048.6031030757972
jw01666001001_02102_00001-seg001_nrcb1_o001_crfints,933,epoch1,sw,59980.854630918744,0.5300075875420589,822.3292179691939
jw01666001001_02102_00001-seg002_nrcb1_o001_crfints,1283,epoch1,sw,59981.06607101424,0.5727936242765281,1120.298900174861
jw01666001001_02102_00001-seg002_nrcb1_o001_crfints,1211,epoch1,sw,59981.061422560364,0.6045247673755512,842.7265020504645
jw01666001001_02102_00001-seg001_nrcb1_o001_crfints,1608,epoch1,sw,59980.89821017592,0.6075285469705705,1050.0277019749021
jw01666001001_02102_00001-seg001_nrcb1_o001_crfints,716,epoch1,sw,59980.84062099448,0.6117526797461323,1030.4441607408085
jw01666001001_02102_00001-seg001_nrcb1_o001_crfints,642,epoch1,sw,59980.835843416615,0.6165874103899114,835.0220169752173
jw01666001001_02102_00001-seg002_nrcb1_o001_crfints,246,epoch1,sw,59980.9991203652,0.6270322741765995,805.076123065329
jw01666001001_02102_00001-seg002_nrcb1_o001_crfints,2850,epoch1,sw,59981.16723944684,0.6460892244358547,767.7891376333988
jw01666001001_02102_00001-seg001_nrcb1_o001_crfints,2727,epoch1,sw,59980.970454899005,0.6560408613004256,980.5329423940298
jw01666001001_02102_00001-seg002_nrcb1_o001_crfints,1215,epoch1,sw,59981.06168080779,0.6583174792758655,756.5828094345217
jw01666001001_02102_00001-seg002_nrcb1_o001_crfints,2628,epoch1,sw,59981.15290671437,0.6605936465202831,971.0365150278379
jw01666001001_02102_00001-seg002_nrcb1_o001_crfints,1662,epoch1,sw,59981.09053995892,0.6696532953646965,747.3637242668287
jw01666001001_02102_00001-seg001_nrcb1_o001_crfints,2580,epoch1,sw,59980.96096430543,0.6791585614264477,972.9039905242511
jw01666001001_02102_00001-seg002_nrcb1_o001_crfints,2184,epoch1,sw,59981.12424124925,0.6896024534653407,949.0101246392659
jw01666001001_02102_00001-seg002_nrcb1_o001_crfints,2333,epoch1,sw,59981.13386096617,0.6933810335758608,935.1686905479437
jw01666001001_02102_00001-seg002_nrcb1_o001_crfints,996,epoch1,sw,59981.04754176053,0.713166361063486,667.6925318894365
jw01666001001_02102_00001-seg001_nrcb1_o001_crfints,205,epoch1,sw,59980.80762988235,0.7397330267704092,855.3177621655278
jw01666001001_02102_00001-seg001_nrcb1_o001_crfints,950,epoch1,sw,59980.85572847041,0.7586266341677401,637.7809339976777
jw01666001001_02102_00001-seg001_nrcb1_o001_crfints,2363,epoch1,sw,59980.946954381536,0.7609037294168957,866.6060138206908
jw01666001001_02102_00001-seg001_nrcb1_o001_crfints,2215,epoch1,sw,59980.937399226044,0.7705732396862004,794.8977275180521
jw01666001001_02102_00001-seg001_nrcb1_o001_crfints,2290,epoch1,sw,59980.94224136566,0.7791866647603456,613.9319903336949
jw01666001001_02102_00001-seg002_nrcb1_o001_crfints,1299,epoch1,sw,59981.067104004,0.7879644840722904,594.9158014576061
jw01666001001_02102_00001-seg002_nrcb1_o001_crfints,2638,epoch1,sw,59981.15355233295,0.7950754293997306,575.0750803705611
jw01666001001_02102_00001-seg002_nrcb1_o001_crfints,112,epoch1,sw,59980.99046907587,0.8249763103958685,737.5741347167419
jw01666001001_02102_00001-seg003_nrcb1_o001_crfints,236,epoch1,sw,59981.18731818462,0.8284726585552562,564.2917255777028
jw01666001001_02102_00001-seg001_nrcb1_o001_crfints,1253,epoch1,sw,59980.875290714794,0.8334249427716713,740.8950523514853
jw01666001001_02102_00001-seg002_nrcb1_o001_crfints,1081,epoch1,sw,59981.05302951861,0.8562615467817523,513.137946478584
jw01666001001_02102_00001-seg002_nrcb1_o001_crfints,784,epoch1,sw,59981.03385464622,0.8621524813352153,740.1425628729742
jw01666001001_02102_00001-seg001_nrcb1_o001_crfints,2074,epoch1,sw,59980.928296003556,0.8743799973453861,687.1420954497079
jw01666001001_02102_00001-seg002_nrcb1_o001_crfints,2421,epoch1,sw,59981.1395424097,0.8768207280081697,500.75085182714724
jw01666001001_02102_00001-seg002_nrcb1_o001_crfints,488,epoch1,sw,59981.01474433561,0.8814915775437839,684.9847759778693
jw01666001001_02102_00001-seg002_nrcb1_o001_crfints,1233,epoch1,sw,59981.06284292126,0.9003846934938338,483.0032048856337
jw01666001001_02102_00001-seg002_nrcb1_o001_crfints,1382,epoch1,sw,59981.07246263833,0.904163304832764,685.3341082375725
jw01666001001_02102_00001-seg001_nrcb1_o001_crfints,1855,epoch1,sw,59980.91415695582,0.9292287825664971,670.779775765503
jw01666001001_02102_00001-seg001_nrcb1_o001_crfints,1632,epoch1,sw,59980.899759660606,0.9302848454972263,649.4871982178961
jw01666001001_02102_00001-seg001_nrcb1_o001_crfints,443,epoch1,sw,59980.82299560584,0.9403997213230468,607.7631450713386
jw01666001001_02102_00001-seg001_nrcb1_o001_crfints,1931,epoch1,sw,59980.91906365733,0.9512903945869766,542.3294945499325
jw01666001001_02102_00001-seg001_nrcb1_o001_crfints,1188,epoch1,sw,59980.871094193724,0.9592932930972893,262.3831367080299
jw01666001001_02102_00001-seg002_nrcb1_o001_crfints,2504,epoch1,sw,59981.144901043954,0.9930195340130012,-35.72653217788797
jw01666001001_02102_00001-seg002_nrcblong_o001_crfints,427,epoch1,lw,59981.01080665253,0.061275652406038716,26.954479255800905
jw01666001001_02102_00001-seg001_nrcblong_o001_crfints,1270,epoch1,lw,59980.87638860296,0.06211408326635137,8.395453060659026
jw01666001001_02102_00001-seg001_nrcblong_o001_crfints,2238,epoch1,lw,59980.93888460341,0.07997603979310952,25.59605976992967
jw01666001001_02102_00001-seg002_nrcblong_o001_crfints,57,epoch1,lw,59980.986918718816,0.08544005663134158,25.480557732205796
jw01666001001_02102_00001-seg002_nrcblong_o001_crfints,1916,epoch1,lw,59981.106939443074,0.08565143248415552,9.550810250894148
jw01666001001_02102_00001-seg002_nrcblong_o001_crfints,1917,epoch1,lw,59981.107004005054,0.09909963622340001,25.84078640884531
jw01666001001_02102_00001-seg001_nrcblong_o001_crfints,2837,epoch1,lw,59980.977557231316,0.13545043882913888,11.568116617195702
jw01666001001_02102_00001-seg003_nrcblong_o001_crfints,36,epoch1,lw,59981.17440671246,0.13902435451745987,25.791490773306073
jw01666001001_02102_00001-seg001_nrcblong_o001_crfints,1499,epoch1,lw,59980.89117329737,0.1417529318423476,12.333687615840498
jw01666001001_02102_00001-seg002_nrcblong_o001_crfints,215,epoch1,lw,59980.997119512074,0.21025632621604018,13.25147536280285
jw01666001001_02102_00001-seg001_nrcblong_o001_crfints,1135,epoch1,lw,59980.867672735076,0.24660646438132972,30.87688264193069
jw01666001001_02102_00001-seg002_nrcblong_o001_crfints,444,epoch1,lw,59981.01190420622,0.2898951220558956,14.259958494596187
jw01666001001_02102_00001-seg001_nrcblong_o001_crfints,2478,epoch1,lw,59980.954379479415,0.3075450910255313,34.675663122856896
jw01666001001_02102_00001-seg002_nrcblong_o001_crfints,2232,epoch1,lw,59981.12734102896,0.33528384237433784,34.81865655472257
jw01666001001_02102_00001-seg002_nrcblong_o001_crfints,2456,epoch1,lw,59981.141802912556,0.3476814865425695,39.829666922521106
jw01666001001_02102_00001-seg001_nrcblong_o001_crfints,177,epoch1,lw,59980.80582235341,0.3632263375038747,18.911168889316052
jw01666001001_02102_00001-seg002_nrcblong_o001_crfints,4,epoch1,lw,59980.98349693374,0.37268523275270127,35.97395044316447
jw01666001001_02102_00001-seg001_nrcblong_o001_crfints,699,epoch1,lw,59980.83952370971,0.3831892259477172,21.260603360944078
jw01666001001_02102_00001-seg002_nrcblong_o001_crfints,1939,epoch1,lw,59981.10842436863,0.394960120174801,38.76067994872481
