fits_file,slice_idx,epoch,wave,mjd,phase,flux
jw01666001001_02102_00001-seg001_nrcb1_o001_crfints,1712,epoch1,sw,59980.90492460957,0.006139173900010064,-26.957760695520314
jw01666001001_02102_00001-seg002_nrcb1_o001_crfints,423,epoch1,sw,59981.010547814694,0.007359959126915783,-34.30731138149766
jw01666001001_02102_00001-seg002_nrcb1_o001_crfints,795,epoch1,sw,59981.03456482668,0.010082446649903432,-25.17783633127762
jw01666001001_02102_00001-seg001_nrcb1_o001_crfints,820,epoch1,sw,59980.84733542824,0.010363328998209909,126.18908099670297
jw01666001001_02102_00001-seg002_nrcb1_o001_crfints,1762,epoch1,sw,59981.096996144835,0.014471148024313152,122.15743282291591
jw01666001001_02102_00001-seg001_nrcb1_o001_crfints,2382,epoch1,sw,59980.9481810569,0.016419129067799076,137.6003325540392
jw01666001001_02102_00001-seg001_nrcb1_o001_crfints,895,epoch1,sw,59980.85217756795,0.01897677330998704,128.15424997123236
jw01666001001_02102_00001-seg002_nrcb1_o001_crfints,1465,epoch1,sw,59981.07782127265,0.020362124138046056,30.23439833653708
jw01666001001_02102_00001-seg002_nrcb1_o001_crfints,722,epoch1,sw,59981.029851810905,0.028365402802592143,221.5115710424993
jw01666001001_02102_00001-seg002_nrcb1_o001_crfints,2358,epoch1,sw,59981.13547501263,0.029585492244223133,214.21875141089842
jw01666001001_02102_00001-seg002_nrcb1_o001_crfints,1317,epoch1,sw,59981.06826611746,0.03003169526346028,139.22094259299877
jw01666001001_02102_00001-seg002_nrcb1_o001_crfints,351,epoch1,sw,59981.00589936074,0.039091085782274604,343.70238515070804
jw01666001001_02102_00001-seg001_nrcb1_o001_crfints,1194,epoch1,sw,59980.87148156489,0.03998236695770174,334.6944782215875
jw01666001001_02102_00001-seg001_nrcb1_o001_crfints,674,epoch1,sw,59980.837909396236,0.046929149160860106,486.417377498965
jw01666001001_02102_00001-seg001_nrcb1_o001_crfints,2087,epoch1,sw,59980.92913530775,0.04920632307766937,489.3925505478288
jw01666001001_02102_00001-seg002_nrcb1_o001_crfints,352,epoch1,sw,59981.0059639226,0.052539265278028324,419.8989465738967
jw01666001001_02102_00001-seg001_nrcb1_o001_crfints,80,epoch1,sw,59980.79955964939,0.058710596640594304,611.5641015063673
jw01666001001_02102_00001-seg002_nrcb1_o001_crfints,2732,epoch1,sw,59981.159621147606,0.05920418881578371,577.5372486926059
jw01666001001_02102_00001-seg001_nrcb1_o001_crfints,2757,epoch1,sw,59980.97239175484,0.05948622926371172,579.4661521130051
jw01666001001_02102_00001-seg002_nrcb1_o001_crfints,1468,epoch1,sw,59981.078014958235,0.060706661111908033,500.64782358012803
jw01666001001_02102_00001-seg001_nrcb1_o001_crfints,1047,epoch1,sw,59980.86199097109,0.06310002107056789,639.3567949072384
jw01666001001_02102_00001-seg001_nrcb1_o001_crfints,1940,epoch1,sw,59980.91964471408,0.07232400390785187,657.5202117535081
jw01666001001_02102_00001-seg001_nrcb1_o001_crfints,1717,epoch1,sw,59980.90524741889,0.073380071320571,510.1407400584156
jw01666001001_02102_00001-seg002_nrcb1_o001_crfints,205,epoch1,sw,59980.996473328916,0.07565694232471287,675.7084161440838
jw01666001001_02102_00001-seg002_nrcb1_o001_crfints,726,epoch1,sw,59981.03011005834,0.08215811624540947,493.4559268890196
jw01666001001_02102_00001-seg002_nrcb1_o001_crfints,875,epoch1,sw,59981.039729775475,0.0859367408847902,491.0361433399741
jw01666001001_02102_00001-seg002_nrcb1_o001_crfints,1247,epoch1,sw,59981.063746787295,0.08865919426898472,658.8187867412281
jw01666001001_02102_00001-seg002_nrcb1_o001_crfints,2437,epoch1,sw,59981.14057539945,0.0919915848353412,656.6686544475441
jw01666001001_02102_00001-seg001_nrcb1_o001_crfints,380,epoch1,sw,59980.81892820845,0.09316442027920857,666.7637222393674
jw01666001001_02102_00001-seg002_nrcb1_o001_crfints,1694,epoch1,sw,59981.092605938415,0.09999500893172808,473.79420496813975
jw01666001001_02102_00001-seg001_nrcb1_o001_crfints,1199,epoch1,sw,59980.87180437421,0.10722326437826268,496.8586540926407
jw01666001001_02102_00001-seg002_nrcb1_o001_crfints,2587,epoch1,sw,59981.15025967818,0.10921833399333991,505.8003550734584
jw01666001001_02102_00001-seg001_nrcb1_o001_crfints,753,epoch1,sw,59980.84300978342,0.10933531593764201,670.9532148544548
jw01666001001_02102_00001-seg002_nrcb1_o001_crfints,2290,epoch1,sw,59981.13108480626,0.11510936362901703,682.2363225496174
jw01666001001_02102_00001-seg002_nrcb1_o001_crfints,878,epoch1,sw,59981.03992346105,0.126281276345253,529.7209845930093
jw01666001001_02102_00001-seg002_nrcb1_o001_crfints,2068,epoch1,sw,59981.11675207365,0.12961375745362602,677.7826097351021
jw01666001001_02102_00001-seg001_nrcb1_o001_crfints,234,epoch1,sw,59980.80950217638,0.1297302270832006,687.9476762422983
jw01666001001_02102_00001-seg001_nrcb1_o001_crfints,1424,epoch1,sw,59980.88633079326,0.13306358273257501,532.6630221625231
jw01666001001_02102_00001-seg001_nrcb1_o001_crfints,2837,epoch1,sw,59980.977556703714,0.13534053988405503,676.3114866991272
jw01666001001_02102_00001-seg001_nrcb1_o001_crfints,2317,epoch1,sw,59980.943984535916,0.14228749726316892,721.0465588681535
jw01666001001_02102_00001-seg003_nrcb1_o001_crfints,111,epoch1,sw,59981.17924795241,0.1474503813951742,684.4487677349903
jw01666001001_02102_00001-seg003_nrcb1_o001_crfints,186,epoch1,sw,59981.18409009173,0.15606374706840143,718.7449590004333
jw01666001001_02102_00001-seg002_nrcb1_o001_crfints,286,epoch1,sw,59981.00170283981,0.16495946439681575,725.030357907044
jw01666001001_02102_00001-seg002_nrcb1_o001_crfints,1699,epoch1,sw,59981.09292874771,0.16723590189940296,537.449417068527
jw01666001001_02102_00001-seg002_nrcb1_o001_crfints,807,epoch1,sw,59981.035339569,0.1714605914603453,568.7765939550726
jw01666001001_02102_00001-seg001_nrcb1_o001_crfints,832,epoch1,sw,59980.848110170584,0.1717414782033302,726.0306615300675
jw01666001001_02102_00001-seg001_nrcb1_o001_crfints,535,epoch1,sw,59980.828935297264,0.17763222276698798,573.0315475470011
jw01666001001_02102_00001-seg002_nrcb1_o001_crfints,1105,epoch1,sw,59981.05457900324,0.17901783340494148,564.012919469377
jw01666001001_02102_00001-seg002_nrcb1_o001_crfints,2890,epoch1,sw,59981.16982192117,0.18401635749614798,583.1228756932237
jw01666001001_02102_00001-seg001_nrcb1_o001_crfints,1874,epoch1,sw,59980.9153836312,0.1847441866993904,727.9252552523427
jw01666001001_02102_00001-seg001_nrcb1_o001_crfints,1651,epoch1,sw,59980.900986335975,0.18580024660332128,587.983419265561
jw01666001001_02102_00001-seg002_nrcb1_o001_crfints,139,epoch1,sw,59980.992212246114,0.18807713995920494,579.9676500643152
jw01666001001_02102_00001-seg002_nrcb1_o001_crfints,1850,epoch1,sw,59981.102677588424,0.19791085433098488,764.5690458102738
jw01666001001_02102_00001-seg001_nrcb1_o001_crfints,537,epoch1,sw,59980.829064420985,0.2045285802159924,777.1445290070096
