fits_file,ap_x,ap_y,psf_x,psf_y
jw01666001001_02102_00001-seg001_nrcb1_o001_crfints.fits,82.79801082701172,84.58202127590147,82.55212151323661,84.4110498436146
jw01666001001_02102_00001-seg002_nrcb1_o001_crfints.fits,82.82975138889407,84.6129063434649,82.55712055533338,84.40613828761543
jw01666001001_02102_00001-seg003_nrcb1_o001_crfints.fits,82.85302987392183,84.66318241585634,82.5557053840383,84.40422907298309
